GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java Sentiment Analysis,sentiment.models,NaiveBayesClassifier,254,0,20,0,61,0,29,0,19,0
Java Sentiment Analysis,sentiment.models,SVMClassifier,752,554,44,24,134,112,52,26,22,22
Java Sentiment Analysis,sentiment.models,ClassifierTrainingTemplate,704,441,34,24,126,94,46,29,24,22
Java Sentiment Analysis,sentiment.models,CrossValidator.CrossValidationResult,361,0,14,0,45,0,13,0,6,0
Java Sentiment Analysis,sentiment.models,LogisticRegressionClassifier,254,0,20,0,61,0,29,0,19,0
Java Sentiment Analysis,sentiment.models,WekaModelPersistence,354,0,24,0,79,0,22,0,10,0
Java Sentiment Analysis,sentiment.models,BatchOptimizationConfig.Builder,0,70,0,6,0,23,0,10,0,7
Java Sentiment Analysis,sentiment.models,BatchOptimizationConfig,0,116,0,4,0,28,0,15,0,13
Java Sentiment Analysis,sentiment.models,SVMHyperparameterSearch,870,0,52,0,135,0,41,0,14,0
Java Sentiment Analysis,sentiment.models,CrossValidator,672,0,36,0,114,0,32,0,14,0
Java Sentiment Analysis,sentiment.models,SentimentClassifier,4,9,0,2,1,3,1,2,1,1
Java Sentiment Analysis,sentiment.models,WekaModelPersistence.ModelBundle,26,0,0,0,9,0,1,0,1,0
Java Sentiment Analysis,sentiment.models,SVMConfig.KernelType,3,41,0,0,1,9,1,3,1,3
Java Sentiment Analysis,sentiment.models,SVMConfig,251,141,32,12,40,37,37,5,14,5
Java Sentiment Analysis,sentiment.models,BatchPredictor,163,993,34,94,28,216,33,55,1,23
Java Sentiment Analysis,sentiment.models,AlgorithmType,189,65,26,0,32,12,18,3,5,3
Java Sentiment Analysis,sentiment.models,BatchPredictor.new ThreadFactory() {...},0,27,0,0,0,5,0,2,0,2
Java Sentiment Analysis,sentiment.models,RandomForestClassifier,331,0,24,0,74,0,33,0,21,0
Java Sentiment Analysis,sentiment.models,CrossValidator.FoldMetrics,9,0,0,0,4,0,1,0,1,0
Java Sentiment Analysis,sentiment.models,BatchPredictor.MiniBatchResult,0,9,0,0,0,4,0,1,0,1
Java Sentiment Analysis,sentiment.models,BatchProcessingMetrics,28,283,5,5,5,53,10,15,5,15
Java Sentiment Analysis,sentiment.models,WekaModelPersistence.ModelMetadata,65,0,0,0,11,0,2,0,2,0
Java Sentiment Analysis,sentiment.training,ModelTrainer.TrainingResult,188,0,2,0,34,0,16,0,15,0
Java Sentiment Analysis,sentiment.training,ModelTrainingCLI.Config,18,0,0,0,6,0,1,0,1,0
Java Sentiment Analysis,sentiment.training,ModelTrainer,618,0,32,0,115,0,31,0,13,0
Java Sentiment Analysis,sentiment.training,ModelTrainingCLI,574,0,44,0,144,0,35,0,9,0
Java Sentiment Analysis,sentiment,SentimentAnalyzerApplication,30,0,0,0,10,0,3,0,3,0
Java Sentiment Analysis,sentiment,PipelineState,111,64,27,5,14,14,21,6,5,5
Java Sentiment Analysis,sentiment.models.exceptions,ClassifierTrainingException.TrainingFailureReason,70,0,0,0,13,0,3,0,3,0
Java Sentiment Analysis,sentiment.models.exceptions,SentimentClassifierException,168,0,10,0,29,0,15,0,10,0
Java Sentiment Analysis,sentiment.models.exceptions,ClassifierTrainingException,93,0,12,0,25,0,17,0,8,0
Java Sentiment Analysis,sentiment.evaluation,FeatureImportanceAnalyzer.FeatureStatistics,53,0,0,0,9,0,2,0,2,0
Java Sentiment Analysis,sentiment.evaluation,ClassifierEvaluationResult.ClassMetrics,0,55,0,0,0,12,0,6,0,6
Java Sentiment Analysis,sentiment.evaluation,FeatureImportanceAnalyzer.FeatureImportanceResult,93,0,0,0,15,0,4,0,4,0
Java Sentiment Analysis,sentiment.evaluation,StratifiedDataSplitter.DataSplit,0,59,0,0,0,8,0,3,0,3
Java Sentiment Analysis,sentiment.evaluation,CalibrationMetrics,155,541,6,34,22,97,4,39,1,22
Java Sentiment Analysis,sentiment.evaluation,StratifiedDataSplitter,3,594,4,36,1,89,5,21,1,5
Java Sentiment Analysis,sentiment.evaluation,FeatureImportanceAnalyzer.FeatureWeight,34,0,0,0,7,0,2,0,2,0
Java Sentiment Analysis,sentiment.evaluation,CalibrationMetrics.CalibrationBin,6,120,0,6,2,18,2,9,2,6
Java Sentiment Analysis,sentiment.evaluation,FeatureImportanceAnalyzer,407,0,14,0,83,0,20,0,13,0
Java Sentiment Analysis,sentiment.evaluation,AUCCalculator.ROCPoint,0,9,0,0,0,4,0,1,0,1
Java Sentiment Analysis,sentiment.evaluation,AUCCalculator.PredictionLabel,0,9,0,0,0,4,0,1,0,1
Java Sentiment Analysis,sentiment.evaluation,AUCCalculator.PRPoint,0,9,0,0,0,4,0,1,0,1
Java Sentiment Analysis,sentiment.evaluation,ClassifierEvaluationResult,2,822,4,58,0,114,4,58,0,31
Java Sentiment Analysis,sentiment.evaluation,AUCCalculator,3,484,1,47,1,98,2,33,1,10
Java Sentiment Analysis,sentiment.preprocessing,WekaThreadSafetyValidator.ValidationResult,12,0,0,0,5,0,1,0,1,0
Java Sentiment Analysis,sentiment.preprocessing,TFIDFFeatureExtractor,1408,4,96,0,270,1,86,1,38,1
Java Sentiment Analysis,sentiment.preprocessing,TFIDFFeatureExtractor.VocabularyStats,47,0,0,0,9,0,2,0,2,0
Java Sentiment Analysis,sentiment.preprocessing,TextPreprocessor.CleaningMetrics,89,0,0,0,13,0,2,0,2,0
Java Sentiment Analysis,sentiment.preprocessing,WekaInstancesConverter.FilterStats,52,0,0,0,9,0,2,0,2,0
Java Sentiment Analysis,sentiment.preprocessing,FilterTrainingTemplate,381,0,26,0,87,0,29,0,16,0
Java Sentiment Analysis,sentiment.preprocessing,PreprocessingPipeline,8,0,0,0,2,0,2,0,2,0
Java Sentiment Analysis,sentiment.preprocessing,WekaThreadSafetyValidator,170,0,16,0,40,0,13,0,5,0
Java Sentiment Analysis,sentiment.preprocessing,AdvancedTokenizer,175,617,33,53,38,122,24,38,3,16
Java Sentiment Analysis,sentiment.preprocessing,TextPreprocessor.PipelineVersionInfo,78,0,0,0,9,0,3,0,3,0
Java Sentiment Analysis,sentiment.preprocessing,TFIDFFeatureExtractor.VocabularyAnalysis,57,0,0,0,10,0,2,0,2,0
Java Sentiment Analysis,sentiment.preprocessing,TextPreprocessor.PipelineState,203,373,12,20,36,78,13,13,4,6
Java Sentiment Analysis,sentiment.preprocessing,TextCleaner,24,0,4,0,6,0,3,0,1,0
Java Sentiment Analysis,sentiment.preprocessing,ContractionExpander,2,595,2,20,1,116,2,23,0,14
Java Sentiment Analysis,sentiment.preprocessing,WekaInstancesConverter.DataSplit,46,0,0,0,8,0,2,0,2,0
Java Sentiment Analysis,sentiment.preprocessing,WekaInstancesConverter.VersionedConversionConfig,88,0,0,0,14,0,2,0,2,0
Java Sentiment Analysis,sentiment.preprocessing,TFIDFFeatureExtractor.FeatureConfig,80,0,0,0,13,0,2,0,2,0
Java Sentiment Analysis,sentiment.preprocessing,IntelligentStopwordRemover.StopwordAnalysis,100,0,2,0,14,0,4,0,3,0
Java Sentiment Analysis,sentiment.preprocessing,TFIDFFeatureExtractor.FeatureQualityMetrics,35,0,0,0,7,0,2,0,2,0
Java Sentiment Analysis,sentiment.preprocessing,TextPreprocessor.PipelineSummary,48,0,0,0,8,0,2,0,2,0
Java Sentiment Analysis,sentiment.preprocessing,AdvancedTokenizer.TokenType,63,0,0,0,12,0,3,0,3,0
Java Sentiment Analysis,sentiment.preprocessing,WekaInstancesConverter.ConversionStats,65,0,0,0,12,0,2,0,2,0
